## RunInfo	version:1.0.3	annotated_features:14968	total_fragments:37498273	pair_mapped:16431724	pair_mixed:16570027	single_mapped:0	unmapped:4496522	unique:16447034	ambig:16554717	overlap_unique:97254	overlap_ambig:931666
transcript	transcript_length	final_count	final_conf	final_prop	init_aligned	unique_count	init_best	init_best_random	init_best_avg	init_prop
HERVH_18q12.2c	6357	3	3.00	1.12e-06	1615	3	9	20	21.87	1.47e-06
MER41_14q11.2b	851	3	3.00	1.1e-06	3	3	3	3	3.00	1.1e-06
HERVH_5q31.1a	10301	3	3.00	1.04e-06	62	3	3	3	3.00	1.04e-06
ERVLB4_12p13.32	7040	3	3.00	9.7e-07	3	3	3	3	3.00	9.7e-07
ERVLE_4q21.3	5415	3	3.00	8.93e-07	4	3	3	3	3.00	8.93e-07
HERVH_1p11.2	1686	3	3.00	8.81e-07	132	3	5	5	5.09	8.81e-07
HERVH_19q13.2b	3211	3	3.00	7.4e-07	106	3	3	3	3.33	7.43e-07
HERVH_11p15.4g	6063	3	3.00	7.23e-07	23837	2	34	203	192.78	5.29e-05
ERVLE_13q21.1b	1104	3	3.00	7.18e-07	3	3	3	3	3.00	7.18e-07
HERVH_22q12.3b	5417	3	3.00	5.6e-07	2698	1	9	28	24.03	1.61e-05
HERVH_13q31.1c	6337	3	3.00	5.53e-07	1652	1	7	20	19.71	2.36e-06
HERVIP10FH_1q44	2631	3	3.00	5.5e-07	4	3	3	3	3.00	5.5e-07
HUERSP1_1p13.3	8458	3	2.00	5.5e-07	28	0	3	4	3.50	5.5e-07
MER61_7p15.3	6694	3	3.00	4.56e-07	5	3	3	3	3.00	4.56e-07
HML5_13q33.1	4740	3	3.00	4.1e-07	3	3	3	3	3.00	4.1e-07
ERV316A3_9q34.2a	4247	3	3.00	4.09e-07	4	3	3	3	3.00	4.09e-07
HERVH_3q25.2a	6138	3	3.00	3.6e-07	3123	0	9	18	19.43	8.72e-06
HERVH_13q14.2a	5946	3	3.00	3.2e-07	2604	2	5	18	14.38	2.56e-06
HARLEQUIN_1q42.13c	9078	3	3.00	2.8e-07	10	3	4	4	4.00	8.27e-07
HERVH_18q11.2	5037	3	2.00	2.29e-07	5370	0	9	74	68.46	1.72e-05
HERVL_13q14.11b	1509	3	3.00	2.25e-07	4	1	3	3	3.00	2.26e-07
HERVH_10q11.22	4912	3	3.00	2.25e-07	445	1	3	4	5.33	2.3e-07
HERVH_6q11.1a	6087	3	3.00	2.07e-07	701	3	11	21	19.44	7.7e-07
HERVH_9q21.31b	6198	3	2.00	1.72e-07	3602	1	9	23	23.66	5e-06
ERVLB4_12q13.12a	2842	3	3.00	1.72e-07	5	3	3	3	3.00	1.72e-07
ERV316A3_11q13.1b	7098	3	3.00	1.53e-07	4	3	4	4	4.00	1.53e-07
MER4_Xq21.32c	5490	3	3.00	5.76e-08	6	3	5	5	5.00	5.76e-08
HERVH_4q12a	5468	3	3.00	4.05e-08	244	1	4	5	4.39	4.25e-08
HML1_6q22.32	1851	3	3.00	4.02e-08	3	3	3	3	3.00	4.02e-08
HERVIP10F_3q29	5731	3	3.00	3.91e-08	5	3	4	4	4.00	3.91e-08
PRIMA41_1q32.3	9089	3	3.00	6.42e-09	14	3	7	9	9.00	6.42e-09
MER4_1q42.13	9250	3	3.00	2.45e-10	9	2	3	3	3.00	3.06e-10
HERVH_7p14.3c	5520	3	3.00	2.31e-10	4844	2	16	64	62.25	3.61e-05
HERVH_7q31.31b	6263	3	3.00	1.14e-10	1940	1	6	11	15.88	2.25e-06
HERVH_16q21c	5969	3	3.00	8e-11	9899	3	47	111	110.45	5.47e-05
HERVH_6p22.3b	5663	3	2.00	7.87e-11	8919	2	21	76	80.54	3.18e-05
HERVH_16p13.2a	5661	3	3.00	5.81e-11	5097	3	6	28	29.02	3.75e-06
HERVH_9q21.31a	5854	3	3.00	2.39e-11	36299	2	128	552	521.29	0.00051
HERVH_8q24.23a	5822	3	3.00	1.31e-11	13025	2	36	104	104.13	8.06e-05
HERVH_2p14a	5125	3	3.00	1.01e-11	5520	2	40	84	88.76	1.85e-05
HERVH_Xp21.2b	5641	3	3.00	8.91e-12	6461	3	23	127	120.42	8.63e-05
HERVH_3q26.32c	5299	3	3.00	5.59e-12	9127	3	24	62	64.33	3.51e-05
HERVH_3p26.3a	5720	3	3.00	2.53e-12	5850	2	56	182	176.96	4.31e-05
HERVH_4q31.1a	5708	3	2.00	2.41e-12	5482	0	15	33	41.35	1.22e-05
HERVH_1p31.1k	5274	3	3.00	2.06e-12	23232	3	86	312	289.75	0.000101
HERVH_6q24.1a	5585	3	3.00	2.04e-12	7881	2	14	52	60.15	4.19e-05
HERVH_19p13.3a	4637	3	3.00	1.93e-12	17193	3	33	127	141.99	3.96e-05
HERVH_Xq28a	4810	3	3.00	1.22e-12	10148	3	27	69	66.34	2.79e-05
HERVH_10q25.3	5844	3	3.00	9.94e-13	6385	2	10	34	38.37	5.58e-05
HML1_6_GL000256v2_alt	5226	3	3.00	9.73e-13	14	3	3	3	3.25	1.93e-12
HERVH_Xq23m	5557	3	3.00	5.87e-13	16017	3	42	147	143.05	0.000124
HERVH_2p13.3c	4638	3	3.00	3.11e-13	16804	3	33	146	133.14	4.93e-05
HERVH_2q31.2	5737	3	3.00	2.8e-13	2394	2	2	13	14.11	1.92e-06
HERVH_4q34.3d	6372	3	3.00	2.68e-13	3156	3	5	18	19.28	2.09e-06
PRIMA41_18p11.32	3165	3	3.00	2.67e-13	9	1	3	4	3.58	2.47e-09
HERVH_Xq21.33b	6424	3	3.00	2e-13	4336	2	9	63	62.35	5.97e-06
HERVH_3q26.1h	7133	3	3.00	1.49e-13	5437	3	13	45	46.30	4.45e-06
HERVH_3q26.2c	7549	3	3.00	8.03e-14	7425	2	18	42	50.12	9.68e-06
HERVH_11p15.4c	5688	3	3.00	6.05e-14	3975	3	9	25	24.29	1.04e-06
HERVH_7p14.3f	5441	3	3.00	4.9e-14	15631	2	30	102	95.30	0.000115
HERVH_7q31.1c	4878	3	3.00	4.58e-14	17583	3	14	95	94.56	5.82e-05
HERVH_6q16.3b	4605	3	3.00	4.56e-14	8786	3	27	68	70.39	9.11e-06
HERVH_6q11.1b	5793	3	3.00	2.49e-14	1140	3	8	14	12.02	6.98e-08
HERVH_6q14.1b	2435	3	3.00	2.04e-22	3745	2	29	71	68.28	2.47e-05
MER41_9q21.12	2741	3	3.00	5.46e-35	12	3	9	10	10.50	1.68e-34
ERVLE_7q31.32g	2370	3	3.00	1.84e-35	5	3	5	5	5.00	1.85e-35
HUERSP1_4q13.1	2800	3	3.00	1.5e-35	4	3	3	3	3.00	1.82e-10
ERVLB4_7q22.1a	2811	3	3.00	1.09e-35	3	3	3	3	3.00	1.09e-35
PABLB_12p11.21	3245	3	3.00	3.15e-36	7	1	4	4	4.00	2.06e-35
HERVH_15q26.3a	5945	3	3.00	4.47e-39	4512	3	7	23	26.96	6.47e-06
HERVH_7q21.2	6082	2	2.00	8.79e-06	346	2	2	3	2.17	8.9e-06
HERVK11_2p14	8696	2	2.00	8.78e-06	23	0	2	2	2.00	8.78e-06
HERVH_8q23.1	6383	2	2.00	8.78e-06	332	0	2	2	2.05	8.78e-06
ERV316A3_8q22.3c	4491	2	2.00	8.78e-06	9	2	2	2	2.00	8.78e-06
ERV316A3_7p13a	3606	2	2.00	8.78e-06	5	2	2	2	2.00	8.78e-06
MER4_4q23b	3512	2	2.00	8.78e-06	6	2	2	2	2.00	8.78e-06
ERV316A3_20q13.12	2683	2	2.00	8.78e-06	3	2	3	3	3.00	8.78e-06
HERVH_3p12.3b	3455	2	2.00	8.78e-06	23	2	2	2	2.00	8.78e-06
MER101_3q13.33b	4515	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
MER61_Xq25c	2118	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
ERV316A3_17q22b	1370	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
LTR57_10q22.3	1378	2	2.00	8.78e-06	3	2	2	2	2.00	8.78e-06
HERVL_3p21.2	6862	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
MER4_20q13.13	7734	2	2.00	8.78e-06	7	2	2	2	3.50	8.78e-06
HML1_7p14.3b	2544	2	2.00	8.78e-06	3	0	2	2	2.00	8.78e-06
HERVL_7q21.11a	1438	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
HERVL74_14q12	1465	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
HERVL_12q21.31l	2044	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
ERVLE_15q15.1	2662	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
ERVLB4_9q33.1a	4093	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
MER4_21q22.3a	2811	2	2.00	8.78e-06	4	2	2	2	2.00	8.78e-06
PRIMA41_4p16.3	1999	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
HERVL_Xq13.1	6495	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
ERVLE_3p21.31f	2986	2	2.00	8.78e-06	4	2	3	3	3.00	8.78e-06
MER4B_10q21.3	1647	2	2.00	8.78e-06	3	2	2	2	2.00	8.78e-06
ERV316A3_8p12g	1525	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
HUERSP3_Xp11.22	6024	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
ERVLB4_6q16.1d	2236	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
HERVL18_6p22.1c	3385	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
HERVL40_11q13.4a	5315	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
ERV316A3_6q23.2b	3634	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
ERVLE_6q16.1c	1914	2	2.00	8.78e-06	2	2	2	2	2.00	8.78e-06
HERVIP10F_1q25.1	3623	2	2.00	8.78e-06	4	0	2	2	2.00	8.78e-06
HERVW_1p22.2a	7353	2	2.00	8.78e-06	17	0	2	2	2.00	8.72e-06
ERV316A3_16q23.1a	4188	2	2.00	6.19e-06	1499	2	19	38	40.50	6.21e-06
HERVIP10FH_7q36.1	1362	2	2.00	6.19e-06	2	2	2	2	2.00	6.19e-06
ERVLE_6q14.1g	3229	2	2.00	6.19e-06	3	2	2	3	2.50	6.19e-06
HERVL_6q22.31f	2135	2	2.00	6.19e-06	2	1	2	2	2.00	6.19e-06
HERVL_1p32.2b	6284	2	2.00	6.19e-06	2	2	2	2	2.00	6.19e-06
HML3_19p13.2a	8695	2	2.00	5.73e-06	4	2	2	2	2.00	5.73e-06
HUERSP1_3q27.1	7857	2	2.00	5.73e-06	8	2	2	2	2.00	5.73e-06
HERV9_5q11.2	4766	2	2.00	5.73e-06	10	2	2	2	2.00	5.73e-06
PABLA_9q22.32	4627	2	2.00	5.73e-06	8	2	2	2	2.00	5.73e-06
HERVIP10FH_2q14.3a	1415	2	2.00	5.73e-06	3	2	2	2	2.00	5.73e-06
HERVL_1q42.2	5087	2	2.00	5.73e-06	6	2	3	3	3.00	5.73e-06
HML6_3p25.1	5205	2	2.00	5.73e-06	6	2	2	2	2.00	5.73e-06
ERVLB4_12_GL877876v1_alt(e)	3843	2	2.00	5.73e-06	2	0	1	2	1.50	3.39e-06
ERVLE_11p11.2c	1989	2	2.00	5.73e-06	2	2	2	2	2.00	5.73e-06
ERVLE_4q31.21d	1420	2	2.00	5.73e-06	2	2	2	2	2.00	5.73e-06
MER41_1q24.2	936	2	2.00	5.73e-06	2	2	2	2	2.00	5.73e-06
MER61_4q31.21b	5629	2	2.00	5.73e-06	4	2	2	2	2.00	5.73e-06
HUERSP2_12q21.1	5365	2	2.00	5.73e-06	2	2	2	2	2.00	5.73e-06
ERV316A3_1q21.3b	3771	2	2.00	5.73e-06	2	2	2	2	2.00	5.73e-06
ERVLB4_7p12.1a	3412	2	2.00	5.73e-06	3	2	2	2	2.00	5.73e-06
ERVLE_1q42.2c	1300	2	2.00	5.73e-06	2	2	2	2	2.00	5.73e-06
MER4_9p13.3d	1453	2	2.00	5.73e-06	2	2	2	2	2.00	5.73e-06
HARLEQUIN_1q42.13a	7201	2	2.00	5.73e-06	10	1	2	2	2.00	5.73e-06
MER4_11q14.1	9363	2	2.00	5.39e-06	15	2	2	2	2.00	5.39e-06
ERVLE_6q22.31b	5297	2	2.00	5.39e-06	3	2	2	2	2.00	5.39e-06
HERVL_2q32.1j	1449	2	2.00	5.39e-06	2	2	2	2	2.00	5.39e-06
HERVP71A_3p26.1	8998	2	2.00	5.13e-06	3	2	2	2	2.00	5.13e-06
ERV316A3_18q22.1f	1497	2	2.00	5.13e-06	2	2	2	2	2.00	5.13e-06
ERVLB4_9q21.2	2441	2	2.00	5.13e-06	2	2	2	2	2.00	5.13e-06
ERVLE_1p36.11c	3934	2	2.00	5.13e-06	4	2	3	3	3.00	5.13e-06
ERV316A3_4q22.1d	1243	2	2.00	5.13e-06	2	2	2	2	2.00	5.13e-06
MER4_4q25b	6399	2	2.00	5.13e-06	3	2	2	2	2.00	5.13e-06
HERVFRD_Xq21.1b	6639	2	2.00	5.13e-06	2	2	2	2	2.00	5.13e-06
HERVP71A_7p15.3a	7517	2	2.00	5.13e-06	2	2	2	2	2.00	5.13e-06
HARLEQUIN_5p12a	6636	2	2.00	4.94e-06	18	2	2	2	2.00	4.94e-06
HARLEQUIN_17q25.3a	2466	2	2.00	4.94e-06	7	1	2	2	2.00	4.94e-06
HUERSP3_3q29	7661	2	2.00	4.94e-06	9	2	2	2	2.00	4.94e-06
ERVLE_5q22.2d	4479	2	2.00	4.94e-06	2	2	2	2	2.00	4.94e-06
HERVL74_2q11.2	3887	2	2.00	4.94e-06	2	2	2	2	2.00	4.94e-06
ERVLB4_11p15.5e	8088	2	2.00	4.94e-06	4	2	2	2	2.00	4.94e-06
ERV316A3_18q11.2b	824	2	2.00	4.94e-06	2	2	2	2	2.00	4.94e-06
ERVLE_1p35.1c	3282	2	2.00	4.94e-06	2	2	2	2	2.00	4.94e-06
HERVFH19_Xq13.1	10257	2	2.00	4.94e-06	8	2	2	2	2.00	4.94e-06
ERVLB4_4q22.1d	3216	2	2.00	4.94e-06	2	2	2	2	2.00	4.94e-06
ERVLB4_6q27e	1719	2	2.00	4.94e-06	2	2	2	2	2.00	4.94e-06
HERVL40_13q32.1	2139	2	2.00	4.94e-06	2	2	2	2	2.00	4.94e-06
HERV4_17p12	4248	2	2.00	4.94e-06	2	2	2	2	2.00	4.94e-06
HERVH_Xq13.2c	8921	2	2.00	4.94e-06	33	1	2	2	2.00	4.94e-06
HML3_8q13.2	6950	2	0.00	4.88e-06	9	0	2	2	2.00	6.19e-06
HERVW_7q21.2	10194	2	2.00	4.8e-06	162	2	2	2	2.00	4.8e-06
MER41_6q21a	1844	2	2.00	4.8e-06	3	2	2	2	2.00	4.8e-06
HUERSP3B_17p11.2	7086	2	2.00	4.8e-06	2	2	2	2	2.00	4.8e-06
HERVE_20p11.21b	5083	2	2.00	4.8e-06	12	0	2	2	2.00	4.94e-06
PABLB_6q24.1	7414	2	2.00	4.69e-06	5	2	2	4	2.83	4.69e-06
HERV30_13q21.2	2534	2	2.00	4.69e-06	2	2	2	2	2.00	4.69e-06
ERV316A3_6p22.1a	1672	2	2.00	4.69e-06	2	2	2	2	2.00	4.69e-06
HERVH_19p13.3d	2687	2	2.00	4.62e-06	18	2	2	2	2.00	4.62e-06
HML5_16p11.2	4829	2	2.00	4.62e-06	2	2	2	2	2.00	4.62e-06
ERVLE_8q22.2a	2600	2	2.00	4.62e-06	5	2	2	2	2.00	4.62e-06
HERV9_1q25.1	14589	2	2.00	4.56e-06	23	2	2	2	2.00	4.58e-06
ERV316A3_14q24.2e	4397	2	2.00	4.56e-06	2	2	2	2	2.00	4.56e-06
HUERSP1_Xp22.2	5117	2	2.00	4.56e-06	4	2	2	2	2.00	4.56e-06
HERVL_8q22.2	6421	2	2.00	4.56e-06	4	2	2	2	2.00	4.56e-06
HERVL40_14q23.3	1301	2	2.00	4.56e-06	2	2	2	2	2.00	4.56e-06
ERVLB4_8p11.23b	3647	2	2.00	4.56e-06	2	2	2	2	2.00	4.56e-06
MER4_7p11.2d	3572	2	2.00	4.52e-06	2	2	2	2	2.00	4.52e-06
ERVLE_Xp11.4b	580	2	2.00	4.52e-06	3	2	2	2	2.00	4.52e-06
MER61_13q14.2	6129	2	2.00	4.52e-06	3	2	2	2	2.00	4.52e-06
ERVLB4_5p13.2	4221	2	2.00	4.52e-06	2	2	2	2	2.00	4.52e-06
HERV3_14q24.2	7014	2	2.00	4.52e-06	2	2	2	2	2.00	4.52e-06
ERVL_6q24.3	4617	2	2.00	4.46e-06	2	2	2	2	2.00	4.46e-06
MER4_17p11.2b	9711	2	2.00	4.44e-06	10	2	3	3	3.00	4.44e-06
ERV316A3_1p35.1b	1817	2	2.00	4.44e-06	2	2	2	2	2.00	4.44e-06
HERVH_4q13.3	5465	2	2.00	4.43e-06	129	2	2	2	2.00	4.43e-06
HERVIP10FH_5q35.1	5739	2	2.00	4.43e-06	5	2	2	2	2.00	4.43e-06
ERVLB4_12q21.2	2823	2	2.00	4.43e-06	2	2	2	2	2.00	4.43e-06
ERVLB4_8q12.3a	7302	2	2.00	4.43e-06	2	2	2	2	2.00	4.43e-06
HERVE_19q12	8838	2	2.00	4.42e-06	6	2	2	2	2.00	4.42e-06
HERVH_12q21.1c	5880	2	2.00	4.4e-06	973	2	2	4	3.44	4.41e-06
HERVH_19p13.2a	1860	2	2.00	4.4e-06	64	1	2	2	2.00	4.43e-06
MER4_Xq28f	9429	2	2.00	4.4e-06	2066	2	45	117	111.33	0.000112
HERVE_4p16.3b	3787	2	2.00	4.39e-06	7	1	2	2	2.00	4.41e-06
ERV316A3_11q13.2	1397	2	2.00	4.39e-06	3	2	3	3	3.00	4.39e-06
HERVL40_15q25.1	4587	2	2.00	4.39e-06	2	2	2	2	2.00	4.39e-06
HERVH_18q12.2a	6485	2	2.00	4.39e-06	979	1	5	7	8.80	4.67e-06
HERVH_7q34c	6367	2	2.00	4.39e-06	1000	2	2	6	5.67	4.43e-06
HERV30_11q14.2	5509	2	2.00	4.39e-06	3	2	2	2	2.00	4.39e-06
HERVH48_8q24.13	6815	2	2.00	4.39e-06	18	2	2	2	2.00	4.39e-06
HERVW_2q13	5644	2	2.00	4.39e-06	149	2	2	6	3.92	4.39e-06
HERV4_19p12	5625	2	2.00	4.39e-06	123	2	3	6	6.50	4.39e-06
HUERSP1_3q22.2b	1421	2	2.00	4.39e-06	2	2	2	2	2.00	4.39e-06
HERVFRD_4p16.3	2847	2	2.00	4.39e-06	4	2	2	2	2.00	4.39e-06
HML6_6p22.2	8245	2	2.00	4.39e-06	45	2	2	2	2.00	4.39e-06
MER61_4q31.21c	2879	2	2.00	4.39e-06	2	2	2	2	2.00	4.39e-06
ERVLE_20q13.12b	7681	2	2.00	4.39e-06	3	2	3	3	3.00	4.39e-06
HML3_1p32.3	5834	2	2.00	4.39e-06	4	0	2	2	2.00	4.39e-06
MER41_5q15a	6225	2	2.00	4.39e-06	6	2	2	2	2.00	4.39e-06
HERVFRD_20q11.23b	5007	2	2.00	4.39e-06	4	2	2	2	2.00	4.39e-06
ERVL_1q41	3772	2	2.00	4.39e-06	2	2	2	2	2.00	4.39e-06
HERVL_12q21.2a	6839	2	2.00	4.39e-06	2	2	2	2	2.00	4.39e-06
HERVL_3q26.33	6810	2	2.00	4.39e-06	2	1	2	2	2.00	4.39e-06
HERVL_Xq21.33d	7483	2	2.00	4.39e-06	2	2	2	2	2.00	4.39e-06
HERVH_16p11.2	5455	2	2.00	4.32e-06	222	0	1	1	1.33	4.39e-06
HML3_5p15.33b	3625	2	1.00	4.09e-06	20	1	2	2	2.00	4.53e-06
HML2_11q23.3	9160	2	2.00	2.91e-06	260	0	31	39	42.10	5.94e-05
HERVL74_4p16.3	1106	2	2.00	2.43e-06	3	2	2	2	2.00	2.43e-06
ERV316A3_6p25.3a	1436	2	2.00	2.35e-06	2	2	2	2	2.00	2.35e-06
HERVFRD_7p21.3	2206	2	2.00	2.35e-06	2	2	2	2	2.00	2.35e-06
HERVIP10F_7p13	2429	2	2.00	2.08e-06	3	2	2	2	2.00	2.08e-06
ERVLE_10q26.11a	1619	2	2.00	2.08e-06	4	2	2	2	2.00	2.08e-06
ERVLB4_Xp21.1d	3048	2	2.00	1.89e-06	2	2	2	2	2.00	1.89e-06
PRIMA41_16p12.1b	5908	2	2.00	1.89e-06	2	2	2	2	2.00	1.89e-06
MER41_7q33	4995	2	2.00	1.87e-06	8	2	4	4	4.00	1.87e-06
ERV316A3_1p31.1e	3547	2	2.00	1.84e-06	2	2	2	2	2.00	1.84e-06
ERVLB4_4q24f	2776	2	2.00	1.8e-06	4	2	2	2	2.00	1.8e-06
MER4_13q12.12c	8647	2	2.00	1.8e-06	53	2	3	3	3.00	1.8e-06
HUERSP2_Xp11.4	626	2	2.00	1.8e-06	3	2	2	2	2.50	1.8e-06
HERVL40_11q13.4b	1029	2	2.00	1.8e-06	2	2	2	2	2.00	1.8e-06
MER101_13q31.1b	4255	2	2.00	1.75e-06	2	2	2	2	2.00	1.75e-06
HERVL_Xq13.3b	4626	2	2.00	1.75e-06	3	0	2	2	2.00	1.75e-06
HERVL18_4p15.2b	3107	2	2.00	1.64e-06	2	2	2	2	2.00	1.64e-06
HERVK11_5q35.1	5684	2	2.00	1.55e-06	20	2	3	3	3.00	5.21e-06
HERVIP10F_2q23.3	7799	2	2.00	1.55e-06	4	2	2	2	2.00	1.55e-06
ERV316A3_21q22.3d	590	2	2.00	1.55e-06	2	2	2	2	2.00	1.55e-06
MER41_1p34.3	4748	2	2.00	1.48e-06	5	2	2	2	2.00	1.48e-06
HERVL40_4q28.3c	2527	2	2.00	1.48e-06	2	2	2	2	2.00	1.48e-06
ERVLE_15q21.2	1663	2	2.00	1.46e-06	2	2	2	2	2.00	1.46e-06
HARLEQUIN_11q21	7334	2	2.00	1.43e-06	7	0	2	2	2.00	1.43e-06
HARLEQUIN_7p22.1	7838	2	2.00	1.41e-06	30	1	2	2	2.12	1.42e-06
ERVLE_17p13.1	2131	2	2.00	1.38e-06	3	2	2	2	2.00	1.38e-06
HML3_1p36.33	3156	2	2.00	1.34e-06	5	1	2	2	2.00	1.34e-06
HERVW_Xq22.3c	2741	2	2.00	1.34e-06	3	1	2	2	2.00	1.34e-06
HERVL74_19q13.11a	1688	2	2.00	1.34e-06	2	2	2	2	2.00	1.34e-06
HERVH48_1q44b	5384	2	2.00	1.34e-06	3	2	2	2	2.00	1.34e-06
HERVL18_12q23.1	4392	2	2.00	1.34e-06	2	2	2	2	2.00	1.34e-06
HERVL_3p26.2	6896	2	2.00	1.29e-06	9	2	2	3	3.00	1.29e-06
MER61_1p34.1a	2428	2	2.00	1.29e-06	2	2	2	2	2.00	1.29e-06
ERVLB4_8q21.13c	4356	2	2.00	1.22e-06	2	2	2	2	2.00	1.22e-06
HML3_1q21.3c	6550	2	2.00	1.16e-06	33	2	2	2	2.00	1.17e-06
MER61_12q15a	4058	2	2.00	1.1e-06	2	2	2	2	2.00	1.1e-06
HERVH_6q12f	8478	2	2.00	1.1e-06	3	2	2	2	2.00	1.1e-06
HERVH_Xq23k	6396	2	2.00	9.98e-07	2123	2	61	90	88.42	4.54e-06
MER41_5q32	4230	2	2.00	9.66e-07	2	2	2	2	2.00	9.66e-07
ERV316A3_7q21.11h	3230	2	2.00	8.54e-07	2	2	2	2	2.00	8.54e-07
HERVW_3q28	6809	2	2.00	8.09e-07	176	2	2	3	3.67	8.09e-07
ERV316A3_3p25.2a	645	2	2.00	7.76e-07	2	2	2	2	2.00	7.76e-07
HERVH_11q13.4a	3540	2	2.00	7.56e-07	1623	0	4	7	6.92	1.37e-06
HERVH_15q15.2	5590	2	2.00	7.56e-07	492	2	2	2	3.25	7.61e-07
ERVLE_7q31.1b	3540	2	2.00	7.45e-07	5	2	2	2	2.00	7.45e-07
ERVLE_2q37.3g	1143	2	2.00	6.75e-07	2	2	2	2	2.00	6.75e-07
HERVIP10FH_6q22.1	6734	2	2.00	5.77e-07	6	2	2	2	2.00	5.77e-07
MER61_2p22.3a	1993	2	2.00	5.71e-07	2	2	2	2	2.00	5.71e-07
HERVL74_19q13.11b	988	2	2.00	5.66e-07	2	2	2	2	2.00	5.66e-07
PRIMA4_1q21.2c	2298	2	2.00	5.52e-07	7	1	2	2	2.00	5.52e-07
HERVW_4p16.1	7401	2	2.00	5.5e-07	52	1	1	1	1.00	5.5e-07
HERVP71A_12q21.2	1578	2	2.00	5.5e-07	2	2	2	2	2.00	5.5e-07
HERVL74_6p25.2	3548	2	2.00	5.5e-07	4	2	2	2	2.00	5.5e-07
HUERSP3_7q11.21c	2910	2	2.00	5.5e-07	2	2	2	2	2.00	5.5e-07
HERVIP10F_15q14	7252	2	2.00	5.5e-07	2	2	2	2	2.00	5.5e-07
HERV4_17p13.1	4324	2	2.00	5.5e-07	3	2	2	2	2.00	5.5e-07
ERVLB4_Xp11.21a	6107	2	2.00	5.5e-07	3	2	2	2	2.00	5.5e-07
HUERSP3_19q13.11	1720	2	2.00	4.29e-07	2	2	2	2	2.00	4.29e-07
ERV316A3_9q21.33	1350	2	2.00	4.24e-07	2	2	2	2	2.00	4.24e-07
LTR46_8q13.1	1292	2	2.00	4.15e-07	2	2	2	2	2.00	4.15e-07
ERVLE_19q12b	3689	2	2.00	4.09e-07	2	2	2	2	2.00	4.09e-07
HERVIP10FH_7p14.1	6550	2	2.00	3.36e-07	18	2	2	2	2.00	3.36e-07
ERV316A3_11p15.4k	1301	2	2.00	3.36e-07	2	2	2	2	2.00	3.36e-07
HERVW_6p22.3	6413	2	2.00	3.28e-07	58	2	8	10	9.00	1.36e-05
HERVH_1q31.2	2024	2	2.00	3.04e-07	294	2	2	3	2.33	3.04e-07
HUERSP2_12p13.31	3837	2	2.00	2.93e-07	2	2	2	2	2.00	2.93e-07
HERVH_14q24.3b	6000	2	2.00	2.92e-07	581	1	2	6	8.63	2.96e-07
ERVLE_13q34a	3545	2	2.00	2.77e-07	58	2	2	2	2.50	2.86e-07
HERVH_Xq21.2	5604	2	2.00	2.72e-07	8683	1	68	254	240.22	3.46e-05
MER34B_7q36.3b	1657	2	2.00	2.64e-07	4	2	3	3	3.00	4.24e-07
HERV9_17q11.2a	9049	2	2.00	2.54e-07	2	2	2	2	2.00	2.54e-07
ERVLB4_22q11.21a	771	2	2.00	2.31e-07	2	2	2	2	2.00	2.31e-07
ERVLB4_4q12d	5408	2	2.00	2.27e-07	2	2	2	2	2.00	2.27e-07
HERVH_12q24.33b	3984	2	2.00	2.17e-07	355	2	3	4	3.20	2.18e-07
HML3_10q22.1	7493	2	2.00	1.94e-07	11	2	2	2	2.00	1.94e-07
HUERSP3B_12q23.3a	3624	2	2.00	1.71e-07	6	2	2	2	2.00	1.71e-07
MER61_2q32.3a	2650	2	2.00	1.68e-07	35	2	4	4	4.00	1.68e-07
HERVL40_9q34.3	5777	2	2.00	1.68e-07	11	2	2	2	2.00	1.68e-07
HERVL_3q21.2	4188	2	2.00	1.68e-07	3	2	2	2	2.00	1.68e-07
HML3_13q12.11b	7165	2	2.00	1.62e-07	2	2	2	2	2.00	1.62e-07
HERVH48_7q22.1	5519	2	2.00	1.53e-07	4	2	3	3	3.00	1.53e-07
ERVLE_4q22.3a	5824	2	2.00	1.38e-07	2	2	2	2	2.00	1.38e-07
ERV316A3_3q29	879	2	2.00	1.31e-07	2	2	2	2	2.00	1.31e-07
HUERSP3B_1q24.2	3807	2	2.00	1.25e-07	2	2	2	2	2.00	1.25e-07
MER41_6q26b	6595	2	2.00	1.2e-07	11	2	2	2	2.00	1.2e-07
